19887314	29	64
19887340	26	71
19887341	44	70
19887349	34	50
19887353	69	60
19887361	23	63
19887378	55	61
19887382	75	80
19892505	75	74
19892507	56	50
19892514	64	70
19892523	42	78
19892531	60	72
19892533	40	70
19892534	56	78
19892543	40	70
19892554	56	78
19900498	91	64
19903025	44	51
19903044	75	92
19903049	37	64
19903052	10	23
19903073	46	48
19903074	82	97
19903090	92	58
19903093	94	86
19903095	88	65
19903107	95	88
19903110	66	77
19903118	95	97
19903125	78	85
19903126	43	38
19903129	86	84
19903166	51	80
19903168	31	70
19907321	39	47
19907322	29	47
19907323	39	46
19907326	39	47
19907333	38	45
19907356	33	63
19913021	33	63
19927309	49	60
19927376	80	69
19932603	46	65
19932605	21	70
19932610	32	60
19932616	29	39
19932625	42	55
19960176	44	64
19960411	50	51
19962544	23	75
19962805	70	56
19963092	95	82
19963144	92	82
19963166	25	9
19970711	66	64
19971585	81	89
19971649	88	48
19971690	68	81
19971692	5	32
19971693	8	9
19971702	17	22
19971714	84	52
19972273	95	73
19972614	11	15
19973386	29	58
19980114	90	79
19981383	72	65
19981582	33	55
19981587	33	55
19981592	91	85
19981603	55	61
19981604	23	0
19981605	77	67
19981612	85	85
19981628	96	82
19981629	89	67
19981631	97	94
19981635	87	91
19981642	58	80
19981643	97	77
19981644	75	46
19981650	82	50
19981657	94	71
19981669	61	64
19981675	68	57
19981684	93	94
19981699	51	52
19982245	99	96
19982335	45	69
19985286	82	92
19985287	28	53
19985291	3	16
19990283	76	85
19991615	54	50
19991645	28	21
19995301	40	0
19995302	34	65
